stadsdeel,aantal_bedrijven_nijverheid_energie,aantal_bedrijven_handel_en_horeca,aantal_bedrijven_vervoer_informatie_communicatie,aantal_bedrijven_financieel_onroerend_goed,aantal_bedrijven_zakelijke_dienstverlening,aantal_bedrijven_overheid_onderwijs_en_zorg,aantal_bedrijven_cultuur_recreatie_overige,aantal_bedrijfsvestigingen,woningvoorraad,eengezinswoning,meergezinswoning,koopwoningen,huurwoningen,huurwoningen_in_bezit_woningcorporaties,huurwoningen_in_bezit_overige_verhuurders,woningen_met_eigendom_onbekend,bouwjaarklasse_tot_2000,bouwjaarklasse_vanaf_2000,aantal_inwoners,gemiddelde_woningwaarde,huisartsenpraktijk_avg_km,apotheek_avg_km,grote_supermarkt_avg_km,winkels_ov_dagelijkse_avg_km,cafe_avg_km,cafetaria_avg_km,restaurant_avg_km,hotel_avg_km,brandweerkazerne_avg_km,zwembad_avg_km,kunstijsbaan_avg_km,bibliotheek_avg_km,bioscoop_avg_km,sauna_avg_km,zonnebank_avg_km,attractiepark_avg_km,kinderdagverblijf_avg_km,bso_avg_km,basisonderwijs_avg_km,voortgezet_onderwijs_avg_km,vmbo_gemiddelde_avg_km,havo_vwo_avg_km
Centrum,1115,6030,3155,2675,8940,3045,5355,30340,55099,2507,52533,16639,38126,15609,22472,310,50752,4299,87100,543.8489083286448,0.36629161882893224,0.43926521239954075,0.31346727898966703,0.1892996555683123,0.1834443168771527,0.2024454649827784,0.13205510907003445,0.25029850746268656,1.1593111366245694,1.4524339839265212,5.304052812858783,1.3362227324913891,0.9159127439724455,1.0968197474167622,0.9421010332950631,1.5899885189437428,0.31898966704936854,0.4022962112514351,0.46712973593570606,0.9415614236509758,1.0985878300803673,0.9415614236509758
Nieuw-West,2860,3300,3505,950,4705,3130,2375,20940,70417,16629,53714,19933,50375,33560,16689,15,50473,19867,159545,314.0258886348467,0.5928546804976652,0.7072800777210192,0.5479081136983296,0.4192108809426808,0.7148954840327181,0.4379328716036228,0.4033532859067975,0.9936694976338964,2.047478767745777,2.4216866714719987,11.111792911090914,1.3651759691623053,4.865906170672851,1.6908583785138989,1.1870130684133002,2.425861042339152,0.3602996019931681,0.4459932934281864,0.49183615907737627,1.0240120342223198,1.0240120342223198,1.3471935817480962
Noord,1585,2040,2215,670,3885,2095,2665,15200,46443,14971,31396,13928,32392,25895,6572,0,37178,9205,100895,322.01795749628576,0.6845136032509044,0.7726051836067198,0.6867436443827741,0.5429505921998117,0.9024233113632985,0.6306952772684474,0.5862431240398434,1.5998315080033698,2.1181228009316615,2.53390158085138,9.081718618365628,1.2193072005550325,2.572565538431042,2.9326924029932107,2.884701917835373,5.878675851132365,0.47461222062540265,0.5659051489171911,0.5911194806481986,1.0505773328708063,1.066009217503345,1.7898310124386738
Oost,1145,2820,3350,1625,8130,3920,4440,25565,72796,5895,66779,21374,51195,31111,20005,13,46350,26332,141455,417.4620995659102,0.48532748930755365,0.7070305044006928,0.5523594075854512,0.40407196634972253,1.3831819306493232,0.35352585627938216,0.2629104662260083,0.8418083489448941,2.2058393128556784,2.558863242727369,3.3190696687992647,1.143536813827719,3.2961719274680994,2.3863490155879963,1.2997914531122972,3.073959916581245,0.3091654589798876,0.3900180269343608,0.48138277190625994,0.8213424764059242,0.877607719769538,1.0263829486409106
West,1605,3810,3375,1335,8850,4160,5875,29030,80731,821,79854,22962,57527,30291,27191,134,72767,7911,148035,415.1707646381192,0.3521261863748438,0.43235721282129225,0.3353801465869558,0.21315229506535616,0.26246495761137567,0.2197993717701895,0.16314385111629007,0.5171817475596987,1.5801263214780288,1.3526868645928327,8.012449758503056,0.7207011855304489,1.275387577262134,1.6737325632451785,0.7537204039585234,2.0714222987806936,0.21782011010909583,0.32169419394062215,0.3769581517884284,1.0524200358023441,1.1261661093660282,1.116938561826595
Westpoort,260,430,370,140,400,50,90,1730,30,0,0,0,0,0,0,0,0,0,140,0.0,1.6785714285714286,1.95,1.3142857142857143,1.3642857142857143,1.3428571428571427,0.6285714285714286,0.7428571428571429,1.3142857142857143,2.85,3.15,9.007142857142858,2.085714285714286,2.8285714285714287,3.7071428571428573,2.6142857142857143,4.507142857142857,1.5785714285714285,1.6285714285714286,1.6285714285714286,1.0714285714285714,2.0214285714285714,1.2214285714285715
Zuid,1435,4600,2865,4415,10705,4730,4725,33510,82334,3192,79061,24030,57875,21016,36827,283,76074,6183,145280,552.9290451089465,0.41712555066079293,0.43514592511013217,0.32268034140969165,0.2399986233480176,0.42267345814977975,0.22946723568281938,0.17766382158590308,0.4331635462555066,1.7745250550660794,1.8185435022026433,5.6636632709251105,1.0014110682819384,1.9492703744493391,2.0510049559471364,0.6730176211453744,2.6090170704845814,0.23730726872246696,0.3658796806167401,0.4708218612334802,0.5501445484581498,0.6516106828193833,0.6670911343612335
Zuidoost,950,1745,1475,850,2410,2120,1350,10920,42139,10043,32057,11761,30146,21937,8204,183,34380,7727,90090,237.37478345475688,0.663980463980464,0.7898101898101898,0.8526695526695527,0.7280719280719281,1.1911532911532912,0.7351981351981351,0.6785991785991786,1.830991230991231,2.2243645243645243,2.413086913086913,6.684459984459984,2.001209901209901,3.534887334887335,4.627694527694528,4.867843267843268,2.391741591741592,0.5256854256854256,0.6019092019092019,0.7213564213564213,1.5087468087468088,1.5087468087468088,1.581840381840382
