bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,personenautos_per_huishouden,motortweewielers_totaal,bouwjaarklasse_tot_2000,stadsdeel,buurtcode,buurtnaam
24750,1485,740,745,9,10,37,28,17,67,20,9,3,11,965,1.5,968,404,0.3,35,968,Centrum,BU03630603,Marnixbuurt Noord
23350,935,535,400,6,13,51,22,8,79,11,9,1,13,730,1.3,722,315,0.2,25,722,Centrum,BU03630604,Zaagpoortbuurt
10150,200,110,90,7,9,62,16,6,76,18,6,0,5,125,1.6,118,517,0.3,5,118,Centrum,BU03630605,Marnixbuurt Midden
22558,4290,2200,2090,8,10,37,27,18,67,21,9,2,8,2820,1.5,2939,494,0.3,135,2821,Centrum,BU03630606,Elandsgrachtbuurt
17440,870,455,415,6,10,37,28,20,70,19,8,3,9,615,1.4,647,605,0.3,25,627,Centrum,BU03630607,Passeerdersgrachtbuurt
6325,255,120,135,2,21,58,13,6,80,12,5,3,4,170,1.5,166,468,0.2,5,166,Centrum,BU03630608,Groenmarktkadebuurt
16750,670,355,320,5,5,40,21,29,64,16,10,10,4,490,1.3,510,427,0.2,10,357,Centrum,BU03630609,Marnixbuurt Zuid
23111,2080,1055,1025,8,11,31,31,18,67,22,8,3,8,1320,1.6,1334,533,0.4,70,1293,Centrum,BU03630610,Anjeliersbuurt Noord
26682,2935,1460,1470,8,10,31,33,19,69,20,9,2,11,1955,1.5,1972,484,0.3,80,1932,Centrum,BU03630611,Anjeliersbuurt Zuid
8900,265,155,115,4,15,54,21,6,79,16,4,1,4,195,1.4,205,475,0.2,5,205,Centrum,BU03630700,Leidsebuurt Noordwest
4233,130,70,60,2,23,42,22,11,70,20,7,2,8,95,1.4,107,529,0.2,5,101,Centrum,BU03630701,Leidsebuurt Zuidwest
20660,1030,535,495,5,22,51,16,6,80,14,5,1,5,705,1.5,719,515,0.2,30,704,Centrum,BU03630702,Leidsebuurt Noordoost
7175,290,150,135,11,12,35,28,14,68,24,4,3,21,185,1.5,203,587,0.3,10,203,Centrum,BU03630703,Leidsebuurt Zuidoost
20008,2400,1180,1225,11,9,45,23,12,72,21,5,1,9,1470,1.6,1536,573,0.4,90,1413,Centrum,BU03630704,Weteringbuurt
10690,1070,570,500,10,12,36,24,18,62,29,6,3,10,610,1.8,560,782,0.4,20,548,Centrum,BU03630705,Den Texbuurt
20217,1210,630,580,7,11,36,27,18,64,25,8,3,12,775,1.6,777,651,0.4,30,753,Centrum,BU03630706,Utrechtsebuurt Zuid
6657,935,485,450,9,8,37,29,16,64,27,7,2,12,570,1.6,558,734,0.6,25,513,Centrum,BU03630707,Frederikspleinbuurt
14905,3130,1600,1530,6,15,37,23,19,69,20,8,3,9,2055,1.5,1818,545,0.5,60,1781,Centrum,BU03630800,Weesperbuurt
11989,2155,1150,1010,9,13,41,27,10,73,19,7,2,12,1195,1.6,1173,529,0.4,45,1032,Centrum,BU03630801,Sarphatistrook
5468,1855,940,925,10,14,31,27,18,65,26,7,3,9,1095,1.6,1082,619,0.5,40,1027,Centrum,BU03630803,de Plantage
9900,395,205,195,14,9,44,24,9,76,17,5,2,10,240,1.7,233,551,0.3,5,230,Centrum,BU03630804,Alexanderplein e.o.
476,80,45,35,12,2,31,41,14,60,28,9,2,12,35,1.8,3,0,0.0,10,0,Centrum,BU03630900,Marine-Etablissement
18767,1690,785,905,9,21,27,21,22,61,26,10,3,9,1035,1.6,785,404,0.4,35,785,Centrum,BU03630901,Kattenburg
21933,2635,1465,1165,9,7,36,34,14,66,19,13,2,4,1355,1.6,1310,410,0.5,65,1231,Centrum,BU03630902,Wittenburg
8885,1775,900,875,10,11,36,29,14,67,22,9,2,10,1040,1.7,906,432,0.4,55,824,Centrum,BU03630903,Oostenburg
23610,2360,1175,1180,10,11,45,23,10,74,15,9,2,17,1465,1.6,1454,364,0.3,65,1148,Centrum,BU03630904,Czaar Peterbuurt
18557,1300,650,650,20,13,24,33,10,63,30,6,1,11,620,2.1,562,606,0.5,35,5,Centrum,BU03630905,Het Funen
18780,940,445,490,6,12,32,28,23,70,18,9,3,10,620,1.5,572,475,0.3,30,572,Centrum,BU03630907,Kazernebuurt
17265,2935,1490,1445,9,10,28,32,21,64,25,8,3,9,1890,1.6,1659,517,0.4,135,1526,Centrum,BU03630908,Kadijken
66,95,55,40,2,53,34,8,3,89,6,4,0,0,85,1.1,4,0,0.0,10,0,Westpoort,BU03631000,Coenhaven/Mercuriushaven
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.0,10,0,Westpoort,BU03631001,Alfa-driehoek
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7,0,0.0,0,0,Westpoort,BU03631002,Petroleumhaven
9,35,20,10,0,0,0,0,0,0,0,0,0,30,15,1.7,12,0,0.0,10,0,Westpoort,BU03631003,Westhaven Noord
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0,0,0.0,5,0,Westpoort,BU03631004,Vervoerscentrum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0.0,10,0,Westpoort,BU03631005,Amerikahaven
