OBJECTNUMMER;Buurtcode;Buurtnaam;Wijkcode;Stadsdeelcode;Oppervlakte_m2;BuurtID;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"A00b";"Oude Kerk e.o.";"A00";"A";92626;"03630000000079";"POLYGON((4.893011 52.372706,4.893299 52.3732,4.893564 52.373488,4.894363 52.374067,4.896473 52.375764,4.897079 52.375505,4.897889 52.375159,4.898 52.375237,4.899232 52.374789,4.899406 52.374748,4.899014 52.374374,4.898723 52.374116,4.896856 52.372674,4.895876 52.37186,4.89482 52.372199,4.893835 52.372536,4.893011 52.372706))";"POLYGON((52.372706 4.893011,52.3732 4.893299,52.373488 4.893564,52.374067 4.894363,52.375764 4.896473,52.375505 4.897079,52.375159 4.897889,52.375237 4.898,52.374789 4.899232,52.374748 4.899406,52.374374 4.899014,52.374116 4.898723,52.372674 4.896856,52.37186 4.895876,52.372199 4.89482,52.372536 4.893835,52.372706 4.893011))";4.8962085;52.373812;
2;"A00d";"Nes e.o.";"A00";"A";57840;"03630000000081";"POLYGON((4.892974 52.372708,4.893011 52.372706,4.893835 52.372536,4.89482 52.372199,4.895876 52.37186,4.895204 52.371299,4.894959 52.37105,4.894826 52.370898,4.894754 52.370762,4.894263 52.36923,4.893666 52.369217,4.893512 52.369177,4.892391 52.36908,4.892014 52.369051,4.892049 52.36921,4.89247 52.370245,4.892538 52.370448,4.892803 52.371494,4.892842 52.371758,4.892881 52.372372,4.892921 52.372563,4.892974 52.372708))";"POLYGON((52.372708 4.892974,52.372706 4.893011,52.372536 4.893835,52.372199 4.89482,52.37186 4.895876,52.371299 4.895204,52.37105 4.894959,52.370898 4.894826,52.370762 4.894754,52.36923 4.894263,52.369217 4.893666,52.369177 4.893512,52.36908 4.892391,52.369051 4.892014,52.36921 4.892049,52.370245 4.89247,52.370448 4.892538,52.371494 4.892803,52.371758 4.892842,52.372372 4.892881,52.372563 4.892921,52.372708 4.892974))";4.893945;52.3708795;
3;"A00e";"BG-terrein e.o.";"A00";"A";101289;"03630000000082";"POLYGON((4.892391 52.36908,4.893512 52.369177,4.893666 52.369217,4.894263 52.36923,4.894754 52.370762,4.894826 52.370898,4.894959 52.37105,4.895204 52.371299,4.895876 52.37186,4.897063 52.371438,4.898755 52.370995,4.896365 52.368497,4.896231 52.368291,4.895786 52.367811,4.895474 52.367497,4.895372 52.367424,4.895268 52.367367,4.895052 52.36733,4.89483 52.367307,4.894323 52.367287,4.894147 52.367288,4.892891 52.368331,4.892435 52.368963,4.892391 52.36908))";"POLYGON((52.36908 4.892391,52.369177 4.893512,52.369217 4.893666,52.36923 4.894263,52.370762 4.894754,52.370898 4.894826,52.37105 4.894959,52.371299 4.895204,52.37186 4.895876,52.371438 4.897063,52.370995 4.898755,52.368497 4.896365,52.368291 4.896231,52.367811 4.895786,52.367497 4.895474,52.367424 4.895372,52.367367 4.895268,52.36733 4.895052,52.367307 4.89483,52.367287 4.894323,52.367288 4.894147,52.368331 4.892891,52.368963 4.892435,52.36908 4.892391))";4.895573;52.3695735;
4;"A01a";"Stationsplein e.o.";"A01";"A";260454;"03630000000083";"POLYGON((4.895468 52.379855,4.895806 52.380143,4.896656 52.38106,4.898772 52.38297,4.89948 52.382486,4.90006 52.382155,4.900367 52.38198,4.901184 52.381563,4.902097 52.381196,4.902263 52.381129,4.903263 52.380774,4.904313 52.380464,4.905475 52.380204,4.906409 52.380041,4.904287 52.377933,4.903545 52.377173,4.903254 52.37659,4.902978 52.376689,4.902452 52.377141,4.901959 52.377243,4.900968 52.377241,4.899691 52.377303,4.898867 52.377741,4.898667 52.378012,4.898561 52.378122,4.898441 52.378227,4.898062 52.378505,4.89793 52.378578,4.897713 52.378677,4.897528 52.37876,4.895468 52.379855))";"POLYGON((52.379855 4.895468,52.380143 4.895806,52.38106 4.896656,52.38297 4.898772,52.382486 4.89948,52.382155 4.90006,52.38198 4.900367,52.381563 4.901184,52.381196 4.902097,52.381129 4.902263,52.380774 4.903263,52.380464 4.904313,52.380204 4.905475,52.380041 4.906409,52.377933 4.904287,52.377173 4.903545,52.37659 4.903254,52.376689 4.902978,52.377141 4.902452,52.377243 4.901959,52.377241 4.900968,52.377303 4.899691,52.377741 4.898867,52.378012 4.898667,52.378122 4.898561,52.378227 4.898441,52.378505 4.898062,52.378578 4.89793,52.378677 4.897713,52.37876 4.897528,52.379855 4.895468))";4.9009385;52.37978;
5;"A01b";"Hemelrijk";"A01";"A";62958;"03630000000084";"POLYGON((4.892082 52.377031,4.893913 52.378696,4.894003 52.378766,4.894341 52.37903,4.895194 52.379624,4.895468 52.379855,4.897528 52.37876,4.897713 52.378677,4.896894 52.378001,4.895953 52.377791,4.895849 52.377757,4.895747 52.377711,4.895663 52.377661,4.895583 52.377599,4.895104 52.377146,4.894965 52.37704,4.894775 52.376916,4.894422 52.376738,4.8942 52.376609,4.892082 52.377031))";"POLYGON((52.377031 4.892082,52.378696 4.893913,52.378766 4.894003,52.37903 4.894341,52.379624 4.895194,52.379855 4.895468,52.37876 4.897528,52.378677 4.897713,52.378001 4.896894,52.377791 4.895953,52.377757 4.895849,52.377711 4.895747,52.377661 4.895663,52.377599 4.895583,52.377146 4.895104,52.37704 4.894965,52.376916 4.894775,52.376738 4.894422,52.376609 4.8942,52.377031 4.892082))";4.8948975;52.378232;
6;"A01c";"Nieuwendijk Noord";"A01";"A";65985;"03630000000085";"POLYGON((4.893582 52.376221,4.8942 52.376609,4.894422 52.376738,4.894775 52.376916,4.894965 52.37704,4.895104 52.377146,4.895583 52.377599,4.895663 52.377661,4.895747 52.377711,4.895849 52.377757,4.895953 52.377791,4.896894 52.378001,4.897713 52.378677,4.89793 52.378578,4.898062 52.378505,4.898441 52.378227,4.898561 52.378122,4.898667 52.378012,4.898867 52.377741,4.899691 52.377303,4.89914 52.376971,4.897079 52.375505,4.896473 52.375764,4.896265 52.375818,4.895702 52.376035,4.895622 52.376115,4.895342 52.376181,4.895099 52.376206,4.893582 52.376221))";"POLYGON((52.376221 4.893582,52.376609 4.8942,52.376738 4.894422,52.376916 4.894775,52.37704 4.894965,52.377146 4.895104,52.377599 4.895583,52.377661 4.895663,52.377711 4.895747,52.377757 4.895849,52.377791 4.895953,52.378001 4.896894,52.378677 4.897713,52.378578 4.89793,52.378505 4.898062,52.378227 4.898441,52.378122 4.898561,52.378012 4.898667,52.377741 4.898867,52.377303 4.899691,52.376971 4.89914,52.375505 4.897079,52.375764 4.896473,52.375818 4.896265,52.376035 4.895702,52.376115 4.895622,52.376181 4.895342,52.376206 4.895099,52.376221 4.893582))";4.8966365;52.377091;
7;"A01d";"Spuistraat Noord";"A01";"A";56815;"03630000000086";"POLYGON((4.888855 52.37326,4.888908 52.373439,4.889259 52.374309,4.889303 52.374462,4.889673 52.37482,4.89118 52.376191,4.891314 52.376324,4.892082 52.377031,4.8942 52.376609,4.893582 52.376221,4.89245 52.375458,4.892069 52.375192,4.891933 52.375074,4.891756 52.374873,4.891352 52.374451,4.890938 52.37399,4.89088 52.373892,4.89065 52.373391,4.890589 52.373174,4.888855 52.37326))";"POLYGON((52.37326 4.888855,52.373439 4.888908,52.374309 4.889259,52.374462 4.889303,52.37482 4.889673,52.376191 4.89118,52.376324 4.891314,52.377031 4.892082,52.376609 4.8942,52.376221 4.893582,52.375458 4.89245,52.375192 4.892069,52.375074 4.891933,52.374873 4.891756,52.374451 4.891352,52.37399 4.890938,52.373892 4.89088,52.373391 4.89065,52.373174 4.890589,52.37326 4.888855))";4.8915275;52.3751025;
8;"A01e";"Nieuwe Kerk e.o.";"A01";"A";84135;"03630000000087";"POLYGON((4.890589 52.373174,4.89065 52.373391,4.89088 52.373892,4.890938 52.37399,4.891352 52.374451,4.891756 52.374873,4.891933 52.375074,4.892069 52.375192,4.89245 52.375458,4.893582 52.376221,4.895099 52.376206,4.895342 52.376181,4.895622 52.376115,4.895702 52.376035,4.896265 52.375818,4.896473 52.375764,4.894363 52.374067,4.893564 52.373488,4.893299 52.3732,4.893011 52.372706,4.892974 52.372708,4.892126 52.372742,4.891752 52.372724,4.89137 52.372718,4.890605 52.372643,4.890573 52.372946,4.890589 52.373174))";"POLYGON((52.373174 4.890589,52.373391 4.89065,52.373892 4.89088,52.37399 4.890938,52.374451 4.891352,52.374873 4.891756,52.375074 4.891933,52.375192 4.892069,52.375458 4.89245,52.376221 4.893582,52.376206 4.895099,52.376181 4.895342,52.376115 4.895622,52.376035 4.895702,52.375818 4.896265,52.375764 4.896473,52.374067 4.894363,52.373488 4.893564,52.3732 4.893299,52.372706 4.893011,52.372708 4.892974,52.372742 4.892126,52.372724 4.891752,52.372718 4.89137,52.372643 4.890605,52.372946 4.890573,52.373174 4.890589))";4.893523;52.374432;
9;"A01f";"Spuistraat Zuid";"A01";"A";67125;"03630000000088";"POLYGON((4.888855 52.37326,4.890589 52.373174,4.890573 52.372946,4.890605 52.372643,4.890646 52.37225,4.890679 52.371644,4.890671 52.37153,4.890643 52.371422,4.890595 52.371316,4.890318 52.370837,4.890199 52.370688,4.890061 52.37055,4.889708 52.370093,4.889509 52.36971,4.889352 52.369349,4.889302 52.368907,4.889253 52.368803,4.889189 52.368703,4.889104 52.3686,4.889018 52.368516,4.88854 52.368129,4.88806 52.368498,4.887851 52.368726,4.887839 52.368764,4.887827 52.368803,4.888125 52.370301,4.888508 52.372324,4.888766 52.373038,4.888821 52.373146,4.888855 52.37326))";"POLYGON((52.37326 4.888855,52.373174 4.890589,52.372946 4.890573,52.372643 4.890605,52.37225 4.890646,52.371644 4.890679,52.37153 4.890671,52.371422 4.890643,52.371316 4.890595,52.370837 4.890318,52.370688 4.890199,52.37055 4.890061,52.370093 4.889708,52.36971 4.889509,52.369349 4.889352,52.368907 4.889302,52.368803 4.889253,52.368703 4.889189,52.3686 4.889104,52.368516 4.889018,52.368129 4.88854,52.368498 4.88806,52.368726 4.887851,52.368764 4.887839,52.368803 4.887827,52.370301 4.888125,52.372324 4.888508,52.373038 4.888766,52.373146 4.888821,52.37326 4.888855))";4.889253;52.3706945;
10;"A01g";"Begijnhofbuurt";"A01";"A";70628;"03630000000089";"POLYGON((4.889189 52.368703,4.889253 52.368803,4.889302 52.368907,4.889352 52.369349,4.889509 52.36971,4.889708 52.370093,4.890061 52.37055,4.890199 52.370688,4.890318 52.370837,4.890595 52.371316,4.890643 52.371422,4.890671 52.37153,4.890679 52.371644,4.890646 52.37225,4.890605 52.372643,4.89137 52.372718,4.891752 52.372724,4.892126 52.372742,4.892974 52.372708,4.892921 52.372563,4.892881 52.372372,4.892842 52.371758,4.892803 52.371494,4.892538 52.370448,4.89247 52.370245,4.892049 52.36921,4.892014 52.369051,4.891215 52.368992,4.891142 52.368982,4.890966 52.368915,4.890468 52.368832,4.890218 52.368862,4.889755 52.368785,4.889189 52.368703))";"POLYGON((52.368703 4.889189,52.368803 4.889253,52.368907 4.889302,52.369349 4.889352,52.36971 4.889509,52.370093 4.889708,52.37055 4.890061,52.370688 4.890199,52.370837 4.890318,52.371316 4.890595,52.371422 4.890643,52.37153 4.890671,52.371644 4.890679,52.37225 4.890646,52.372643 4.890605,52.372718 4.89137,52.372724 4.891752,52.372742 4.892126,52.372708 4.892974,52.372563 4.892921,52.372372 4.892881,52.371758 4.892842,52.371494 4.892803,52.370448 4.892538,52.370245 4.89247,52.36921 4.892049,52.369051 4.892014,52.368992 4.891215,52.368982 4.891142,52.368915 4.890966,52.368832 4.890468,52.368862 4.890218,52.368785 4.889755,52.368703 4.889189))";4.8910815;52.3707225;
11;"A01h";"Kalverdriehoek";"A01";"A";60360;"03630000000090";"POLYGON((4.88854 52.368129,4.889018 52.368516,4.889104 52.3686,4.889189 52.368703,4.889755 52.368785,4.890218 52.368862,4.890468 52.368832,4.890966 52.368915,4.891142 52.368982,4.891215 52.368992,4.892014 52.369051,4.892391 52.36908,4.892435 52.368963,4.892891 52.368331,4.894147 52.367288,4.893881 52.36729,4.893806 52.367265,4.893356 52.36697,4.893289 52.366943,4.893152 52.366907,4.892749 52.3669,4.891743 52.366915,4.89116 52.36697,4.8901 52.36714,4.889641 52.367285,4.88854 52.368129))";"POLYGON((52.368129 4.88854,52.368516 4.889018,52.3686 4.889104,52.368703 4.889189,52.368785 4.889755,52.368862 4.890218,52.368832 4.890468,52.368915 4.890966,52.368982 4.891142,52.368992 4.891215,52.369051 4.892014,52.36908 4.892391,52.368963 4.892435,52.368331 4.892891,52.367288 4.894147,52.36729 4.893881,52.367265 4.893806,52.36697 4.893356,52.366943 4.893289,52.366907 4.893152,52.3669 4.892749,52.366915 4.891743,52.36697 4.89116,52.36714 4.8901,52.367285 4.889641,52.368129 4.88854))";4.8913435;52.36799;
12;"A02a";"Langestraat e.o.";"A02";"A";123303;"03630000000092";"POLYGON((4.886207 52.378089,4.887129 52.379095,4.888166 52.380216,4.888437 52.380521,4.889848 52.379731,4.890135 52.379631,4.890239 52.379599,4.891719 52.37927,4.892008 52.379265,4.893525 52.378944,4.893684 52.378901,4.894003 52.378766,4.893913 52.378696,4.892082 52.377031,4.891314 52.376324,4.8899 52.376899,4.889543 52.376955,4.886207 52.378089))";"POLYGON((52.378089 4.886207,52.379095 4.887129,52.380216 4.888166,52.380521 4.888437,52.379731 4.889848,52.379631 4.890135,52.379599 4.890239,52.37927 4.891719,52.379265 4.892008,52.378944 4.893525,52.378901 4.893684,52.378766 4.894003,52.378696 4.893913,52.377031 4.892082,52.376324 4.891314,52.376899 4.8899,52.376955 4.889543,52.378089 4.886207))";4.890105;52.3784225;
13;"A02c";"Felix Meritisbuurt";"A02";"A";203149;"03630000000094";"POLYGON((4.882614 52.368932,4.883068 52.373991,4.883385 52.374065,4.885157 52.373997,4.885389 52.373976,4.885558 52.373934,4.885708 52.373881,4.885832 52.373823,4.886298 52.37357,4.886468 52.373506,4.886659 52.373456,4.886906 52.373419,4.888855 52.37326,4.888821 52.373146,4.888766 52.373038,4.888508 52.372324,4.888125 52.370301,4.887827 52.368803,4.887839 52.368764,4.887679 52.368755,4.887279 52.368761,4.886623 52.368791,4.884411 52.368863,4.882614 52.368932))";"POLYGON((52.368932 4.882614,52.373991 4.883068,52.374065 4.883385,52.373997 4.885157,52.373976 4.885389,52.373934 4.885558,52.373881 4.885708,52.373823 4.885832,52.37357 4.886298,52.373506 4.886468,52.373456 4.886659,52.373419 4.886906,52.37326 4.888855,52.373146 4.888821,52.373038 4.888766,52.372324 4.888508,52.370301 4.888125,52.368803 4.887827,52.368764 4.887839,52.368755 4.887679,52.368761 4.887279,52.368791 4.886623,52.368863 4.884411,52.368932 4.882614))";4.8857345;52.37141;
14;"A02d";"Leidsegracht Noord";"A02";"A";69132;"03630000000095";"POLYGON((4.882603 52.368756,4.882614 52.368932,4.884411 52.368863,4.886623 52.368791,4.887279 52.368761,4.887679 52.368755,4.887839 52.368764,4.887851 52.368726,4.88806 52.368498,4.887719 52.368392,4.886703 52.36804,4.886666 52.367547,4.885875 52.367247,4.885166 52.367012,4.884536 52.366784,4.882798 52.366177,4.882742 52.366246,4.882548 52.366579,4.882432 52.366665,4.882424 52.366744,4.882603 52.368756))";"POLYGON((52.368756 4.882603,52.368932 4.882614,52.368863 4.884411,52.368791 4.886623,52.368761 4.887279,52.368755 4.887679,52.368764 4.887839,52.368726 4.887851,52.368498 4.88806,52.368392 4.887719,52.36804 4.886703,52.367547 4.886666,52.367247 4.885875,52.367012 4.885166,52.366784 4.884536,52.366177 4.882798,52.366246 4.882742,52.366579 4.882548,52.366665 4.882432,52.366744 4.882424,52.368756 4.882603))";4.885242;52.3675545;
15;"A03a";"Spiegelbuurt";"A03";"A";94248;"03630000000097";"POLYGON((4.884468 52.365026,4.887919 52.366658,4.888268 52.366779,4.888398 52.366692,4.890342 52.36559,4.89053 52.365499,4.890057 52.364952,4.889442 52.364268,4.888035 52.362693,4.887968 52.362714,4.887875 52.362774,4.884754 52.364839,4.884571 52.364945,4.884468 52.365026))";"POLYGON((52.365026 4.884468,52.366658 4.887919,52.366779 4.888268,52.366692 4.888398,52.36559 4.890342,52.365499 4.89053,52.364952 4.890057,52.364268 4.889442,52.362693 4.888035,52.362714 4.887968,52.362774 4.887875,52.364839 4.884754,52.364945 4.884571,52.365026 4.884468))";4.887499;52.364736;
16;"A03b";"Gouden Bocht";"A03";"A";55508;"03630000000098";"POLYGON((4.888268 52.366779,4.888399 52.366821,4.888627 52.366872,4.888932 52.366974,4.890208 52.366482,4.891435 52.366317,4.891642 52.366306,4.89265 52.366153,4.893155 52.366089,4.893008 52.36564,4.892898 52.365424,4.892359 52.363857,4.889507 52.364247,4.889442 52.364268,4.890057 52.364952,4.89053 52.365499,4.890342 52.36559,4.888398 52.366692,4.888268 52.366779))";"POLYGON((52.366779 4.888268,52.366821 4.888399,52.366872 4.888627,52.366974 4.888932,52.366482 4.890208,52.366317 4.891435,52.366306 4.891642,52.366153 4.89265,52.366089 4.893155,52.36564 4.893008,52.365424 4.892898,52.363857 4.892359,52.364247 4.889507,52.364268 4.889442,52.364952 4.890057,52.365499 4.89053,52.36559 4.890342,52.366692 4.888398,52.366779 4.888268))";4.8907115;52.3654155;
17;"A03c";"Van Loonbuurt";"A03";"A";153311;"03630000000099";"POLYGON((4.888035 52.362693,4.889442 52.364268,4.889507 52.364247,4.892359 52.363857,4.892898 52.365424,4.893008 52.36564,4.893155 52.366089,4.895788 52.365726,4.895874 52.364754,4.896088 52.361619,4.895908 52.361604,4.888098 52.362673,4.888035 52.362693))";"POLYGON((52.362693 4.888035,52.364268 4.889442,52.364247 4.889507,52.363857 4.892359,52.365424 4.892898,52.36564 4.893008,52.366089 4.893155,52.365726 4.895788,52.364754 4.895874,52.361619 4.896088,52.361604 4.895908,52.362673 4.888098,52.362693 4.888035))";4.8920615;52.3638465;
18;"A03d";"Amstelveldbuurt";"A03";"A";147871;"03630000000100";"POLYGON((4.895874 52.364754,4.896908 52.364966,4.897537 52.365087,4.901217 52.365779,4.901557 52.365162,4.90277 52.362804,4.896517 52.361666,4.896344 52.36164,4.896088 52.361619,4.895874 52.364754))";"POLYGON((52.364754 4.895874,52.364966 4.896908,52.365087 4.897537,52.365779 4.901217,52.365162 4.901557,52.362804 4.90277,52.361666 4.896517,52.36164 4.896344,52.361619 4.896088,52.364754 4.895874))";4.899322;52.363699;
19;"A03e";"Rembrandtpleinbuurt";"A03";"A";76817;"03630000000101";"POLYGON((4.895268 52.367367,4.896077 52.367378,4.897127 52.367428,4.89725 52.367428,4.898241 52.367319,4.898795 52.367262,4.899284 52.367172,4.900752 52.366624,4.901217 52.365779,4.897537 52.365087,4.896908 52.364966,4.895874 52.364754,4.895788 52.365726,4.895764 52.366042,4.895893 52.366302,4.895763 52.367011,4.895268 52.367367))";"POLYGON((52.367367 4.895268,52.367378 4.896077,52.367428 4.897127,52.367428 4.89725,52.367319 4.898241,52.367262 4.898795,52.367172 4.899284,52.366624 4.900752,52.365779 4.901217,52.365087 4.897537,52.364966 4.896908,52.364754 4.895874,52.365726 4.895788,52.366042 4.895764,52.366302 4.895893,52.367011 4.895763,52.367367 4.895268))";4.8982425;52.366091;
20;"A03f";"Reguliersbuurt";"A03";"A";45477;"03630023753963";"POLYGON((4.888932 52.366974,4.889418 52.367136,4.889641 52.367285,4.8901 52.36714,4.89116 52.36697,4.891743 52.366915,4.892749 52.3669,4.893152 52.366907,4.893289 52.366943,4.893356 52.36697,4.893806 52.367265,4.893881 52.36729,4.894147 52.367288,4.894323 52.367287,4.89483 52.367307,4.895052 52.36733,4.895268 52.367367,4.895763 52.367011,4.895893 52.366302,4.895764 52.366042,4.895788 52.365726,4.893155 52.366089,4.89265 52.366153,4.891642 52.366306,4.891435 52.366317,4.890208 52.366482,4.888932 52.366974))";"POLYGON((52.366974 4.888932,52.367136 4.889418,52.367285 4.889641,52.36714 4.8901,52.36697 4.89116,52.366915 4.891743,52.3669 4.892749,52.366907 4.893152,52.366943 4.893289,52.36697 4.893356,52.367265 4.893806,52.36729 4.893881,52.367288 4.894147,52.367287 4.894323,52.367307 4.89483,52.36733 4.895052,52.367367 4.895268,52.367011 4.895763,52.366302 4.895893,52.366042 4.895764,52.365726 4.895788,52.366089 4.893155,52.366153 4.89265,52.366306 4.891642,52.366317 4.891435,52.366482 4.890208,52.366974 4.888932))";4.8924125;52.3665465;
21;"A03g";"Leidsegracht Zuid";"A03";"A";68646;"03630023753962";"POLYGON((4.882798 52.366177,4.884536 52.366784,4.885166 52.367012,4.885875 52.367247,4.886666 52.367547,4.886703 52.36804,4.887719 52.368392,4.88806 52.368498,4.88854 52.368129,4.889641 52.367285,4.889418 52.367136,4.888932 52.366974,4.888627 52.366872,4.888399 52.366821,4.888268 52.366779,4.887919 52.366658,4.884468 52.365026,4.884364 52.365108,4.883505 52.365687,4.882882 52.366075,4.882798 52.366177))";"POLYGON((52.366177 4.882798,52.366784 4.884536,52.367012 4.885166,52.367247 4.885875,52.367547 4.886666,52.36804 4.886703,52.368392 4.887719,52.368498 4.88806,52.368129 4.88854,52.367285 4.889641,52.367136 4.889418,52.366974 4.888932,52.366872 4.888627,52.366821 4.888399,52.366779 4.888268,52.366658 4.887919,52.365026 4.884468,52.365108 4.884364,52.365687 4.883505,52.366075 4.882882,52.366177 4.882798))";4.8862195;52.366762;
22;"A04a";"Oosterdokseiland";"A04";"A";242942;"03630000000102";"POLYGON((4.903254 52.37659,4.903545 52.377173,4.904287 52.377933,4.906409 52.380041,4.906531 52.38002,4.907622 52.379885,4.908685 52.379856,4.910593 52.379914,4.911158 52.377637,4.910753 52.377683,4.911379 52.374941,4.910917 52.374899,4.909575 52.373967,4.909261 52.374089,4.905176 52.375886,4.904283 52.376217,4.903254 52.37659))";"POLYGON((52.37659 4.903254,52.377173 4.903545,52.377933 4.904287,52.380041 4.906409,52.38002 4.906531,52.379885 4.907622,52.379856 4.908685,52.379914 4.910593,52.377637 4.911158,52.377683 4.910753,52.374941 4.911379,52.374899 4.910917,52.373967 4.909575,52.374089 4.909261,52.375886 4.905176,52.376217 4.904283,52.37659 4.903254))";4.9073165;52.377004;
23;"A04b";"Scheepvaarthuisbuurt";"A04";"A";107779;"03630000000103";"POLYGON((4.904283 52.376217,4.905176 52.375886,4.909261 52.374089,4.909575 52.373967,4.907869 52.372784,4.907201 52.372447,4.90637 52.372076,4.905856 52.372334,4.903651 52.373567,4.903546 52.373648,4.903448 52.373753,4.90318 52.374175,4.903129 52.374341,4.903132 52.374486,4.903323 52.375054,4.903805 52.375414,4.904283 52.376217))";"POLYGON((52.376217 4.904283,52.375886 4.905176,52.374089 4.909261,52.373967 4.909575,52.372784 4.907869,52.372447 4.907201,52.372076 4.90637,52.372334 4.905856,52.373567 4.903651,52.373648 4.903546,52.373753 4.903448,52.374175 4.90318,52.374341 4.903129,52.374486 4.903132,52.375054 4.903323,52.375414 4.903805,52.376217 4.904283))";4.906352;52.3741465;
24;"A04c";"Rapenburg";"A04";"A";165937;"03630000000104";"POLYGON((4.90637 52.372076,4.907201 52.372447,4.907869 52.372784,4.909575 52.373967,4.910917 52.374899,4.911379 52.374941,4.912723 52.375063,4.913067 52.374523,4.913263 52.374148,4.913413 52.373775,4.91352 52.373396,4.913585 52.373014,4.913608 52.372621,4.913586 52.372237,4.91352 52.371845,4.913413 52.371467,4.911127 52.369967,4.910789 52.370159,4.910507 52.370215,4.909647 52.370713,4.909154 52.370386,4.908309 52.370851,4.907323 52.371538,4.906674 52.371924,4.90637 52.372076))";"POLYGON((52.372076 4.90637,52.372447 4.907201,52.372784 4.907869,52.373967 4.909575,52.374899 4.910917,52.374941 4.911379,52.375063 4.912723,52.374523 4.913067,52.374148 4.913263,52.373775 4.913413,52.373396 4.91352,52.373014 4.913585,52.372621 4.913608,52.372237 4.913586,52.371845 4.91352,52.371467 4.913413,52.369967 4.911127,52.370159 4.910789,52.370215 4.910507,52.370713 4.909647,52.370386 4.909154,52.370851 4.908309,52.371538 4.907323,52.371924 4.906674,52.372076 4.90637))";4.909989;52.372515;
25;"A04d";"Lastage";"A04";"A";77809;"03630000000424";"POLYGON((4.900935 52.373494,4.901266 52.374173,4.902273 52.376141,4.903254 52.37659,4.904283 52.376217,4.903805 52.375414,4.903323 52.375054,4.903132 52.374486,4.903129 52.374341,4.90318 52.374175,4.903448 52.373753,4.903546 52.373648,4.903651 52.373567,4.905856 52.372334,4.90637 52.372076,4.905795 52.371822,4.904813 52.371415,4.904238 52.371761,4.901354 52.37337,4.900935 52.373494))";"POLYGON((52.373494 4.900935,52.374173 4.901266,52.376141 4.902273,52.37659 4.903254,52.376217 4.904283,52.375414 4.903805,52.375054 4.903323,52.374486 4.903132,52.374341 4.903129,52.374175 4.90318,52.373753 4.903448,52.373648 4.903546,52.373567 4.903651,52.372334 4.905856,52.372076 4.90637,52.371822 4.905795,52.371415 4.904813,52.371761 4.904238,52.37337 4.901354,52.373494 4.900935))";4.9036525;52.3740025;
26;"A04e";"Nieuwmarkt";"A04";"A";71274;"03630000000425";"POLYGON((4.900935 52.373494,4.901354 52.37337,4.904238 52.371761,4.904813 52.371415,4.902152 52.370282,4.901634 52.369966,4.901121 52.369622,4.900908 52.369711,4.900785 52.369877,4.90069 52.370118,4.900435 52.371851,4.900439 52.371992,4.900467 52.372088,4.899857 52.372223,4.899667 52.372276,4.899686 52.372341,4.900098 52.37291,4.900165 52.372968,4.900246 52.373008,4.900369 52.373035,4.900551 52.373044,4.900708 52.373018,4.900935 52.373494))";"POLYGON((52.373494 4.900935,52.37337 4.901354,52.371761 4.904238,52.371415 4.904813,52.370282 4.902152,52.369966 4.901634,52.369622 4.901121,52.369711 4.900908,52.369877 4.900785,52.370118 4.90069,52.371851 4.900435,52.371992 4.900439,52.372088 4.900467,52.372223 4.899857,52.372276 4.899667,52.372341 4.899686,52.37291 4.900098,52.372968 4.900165,52.373008 4.900246,52.373035 4.900369,52.373044 4.900551,52.373018 4.900708,52.373494 4.900935))";4.90224;52.371558;
27;"A04f";"Uilenburg";"A04";"A";106902;"03630000000426";"POLYGON((4.901121 52.369622,4.901634 52.369966,4.902152 52.370282,4.904813 52.371415,4.905795 52.371822,4.90637 52.372076,4.906674 52.371924,4.907323 52.371538,4.908309 52.370851,4.909154 52.370386,4.908707 52.370163,4.908219 52.37007,4.903968 52.368447,4.903716 52.368539,4.902625 52.368986,4.901121 52.369622))";"POLYGON((52.369622 4.901121,52.369966 4.901634,52.370282 4.902152,52.371415 4.904813,52.371822 4.905795,52.372076 4.90637,52.371924 4.906674,52.371538 4.907323,52.370851 4.908309,52.370386 4.909154,52.370163 4.908707,52.37007 4.908219,52.368447 4.903968,52.368539 4.903716,52.368986 4.902625,52.369622 4.901121))";4.9051375;52.3702615;
