OBJECTNUMMER;Buurtcode;Buurtnaam;Wijkcode;Stadsdeelcode;Oppervlakte_m2;BuurtID;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
296;"M50f";"Buiteneiland";"M50";"M";2213662;"03630023754010";"POLYGON((5.001263 52.368593,5.014439 52.369825,5.037683 52.375401,5.037956 52.371307,5.038417 52.363776,5.019007 52.362859,5.006223 52.36288,5.004755 52.364571,5.001263 52.368593))";"POLYGON((52.368593 5.001263,52.369825 5.014439,52.375401 5.037683,52.371307 5.037956,52.363776 5.038417,52.362859 5.019007,52.36288 5.006223,52.364571 5.004755,52.368593 5.001263))";5.01984;52.36913;
297;"M50g";"Centrumeiland";"M50";"M";486387;"03630023754005";"POLYGON((5.006572 52.354846,5.010302 52.358181,5.013776 52.356751,5.02022 52.34949,5.015902 52.348324,5.014894 52.347174,5.009977 52.35274,5.009435 52.353353,5.006572 52.354846))";"POLYGON((52.354846 5.006572,52.358181 5.010302,52.356751 5.013776,52.34949 5.02022,52.348324 5.015902,52.347174 5.014894,52.35274 5.009977,52.353353 5.009435,52.354846 5.006572))";5.013396;52.3526775;
298;"M51a";"Rieteiland Oost";"M51";"M";206373;"03630000000601";"POLYGON((4.998028 52.349642,4.999566 52.349078,5.004906 52.346676,5.005339 52.346463,5.005695 52.346259,5.007566 52.345109,5.007704 52.345014,5.007801 52.344932,5.007904 52.344821,5.008408 52.344133,5.007902 52.343995,5.007735 52.343964,5.007563 52.343944,5.005594 52.343813,5.00538 52.343823,5.005171 52.343851,5.004971 52.343897,5.004783 52.343959,5.004012 52.344295,5.003874 52.344344,5.003741 52.344373,5.00279 52.344527,5.002653 52.344557,5.00254 52.344592,4.999639 52.345733,4.999558 52.345775,4.999324 52.345908,4.999036 52.346101,4.99884 52.346255,4.998604 52.346473,4.998357 52.346762,4.998202 52.347037,4.998076 52.347318,4.997982 52.347604,4.997936 52.347796,4.997904 52.347989,4.997882 52.348281,4.997902 52.348669,4.998028 52.349642))";"POLYGON((52.349642 4.998028,52.349078 4.999566,52.346676 5.004906,52.346463 5.005339,52.346259 5.005695,52.345109 5.007566,52.345014 5.007704,52.344932 5.007801,52.344821 5.007904,52.344133 5.008408,52.343995 5.007902,52.343964 5.007735,52.343944 5.007563,52.343813 5.005594,52.343823 5.00538,52.343851 5.005171,52.343897 5.004971,52.343959 5.004783,52.344295 5.004012,52.344344 5.003874,52.344373 5.003741,52.344527 5.00279,52.344557 5.002653,52.344592 5.00254,52.345733 4.999639,52.345775 4.999558,52.345908 4.999324,52.346101 4.999036,52.346255 4.99884,52.346473 4.998604,52.346762 4.998357,52.347037 4.998202,52.347318 4.998076,52.347604 4.997982,52.347796 4.997936,52.347989 4.997904,52.348281 4.997882,52.348669 4.997902,52.349642 4.998028))";5.003145;52.3467275;
299;"M51b";"Haveneiland Oost";"M51";"M";601997;"03630000000602";"POLYGON((4.998028 52.349642,4.998511 52.350731,5.000747 52.352303,5.003491 52.350843,5.009977 52.35274,5.014894 52.347174,5.012848 52.344841,5.009041 52.34428,5.008718 52.344217,5.008408 52.344133,5.007904 52.344821,5.007801 52.344932,5.007704 52.345014,5.007566 52.345109,5.005695 52.346259,5.005339 52.346463,5.004906 52.346676,4.999566 52.349078,4.998028 52.349642))";"POLYGON((52.349642 4.998028,52.350731 4.998511,52.352303 5.000747,52.350843 5.003491,52.35274 5.009977,52.347174 5.014894,52.344841 5.012848,52.34428 5.009041,52.344217 5.008718,52.344133 5.008408,52.344821 5.007904,52.344932 5.007801,52.345014 5.007704,52.345109 5.007566,52.346259 5.005695,52.346463 5.005339,52.346676 5.004906,52.349078 4.999566,52.349642 4.998028))";5.006461;52.3484365;
300;"M51c";"Haveneiland Noord";"M51";"M";147458;"03630000000603";"POLYGON((5.000747 52.352303,5.003886 52.35451,5.005355 52.353757,5.006572 52.354846,5.009435 52.353353,5.009977 52.35274,5.003491 52.350843,5.000747 52.352303))";"POLYGON((52.352303 5.000747,52.35451 5.003886,52.353757 5.005355,52.354846 5.006572,52.353353 5.009435,52.35274 5.009977,52.350843 5.003491,52.352303 5.000747))";5.005362;52.3528445;
301;"N68f";"Werengouw Zuid";"N68";"N";220895;"03630000000671";"POLYGON((4.951936 52.39071,4.95731 52.392185,4.957678 52.391657,4.958634 52.390382,4.959002 52.389845,4.95942 52.389309,4.959814 52.388852,4.959989 52.388684,4.960132 52.388579,4.960304 52.388491,4.960234 52.388432,4.960123 52.388279,4.960056 52.388235,4.959986 52.388209,4.953911 52.386748,4.952429 52.386309,4.952429 52.386721,4.952429 52.389831,4.951936 52.39071))";"POLYGON((52.39071 4.951936,52.392185 4.95731,52.391657 4.957678,52.390382 4.958634,52.389845 4.959002,52.389309 4.95942,52.388852 4.959814,52.388684 4.959989,52.388579 4.960132,52.388491 4.960304,52.388432 4.960234,52.388279 4.960123,52.388235 4.960056,52.388209 4.959986,52.386748 4.953911,52.386309 4.952429,52.386721 4.952429,52.389831 4.952429,52.39071 4.951936))";4.95612;52.389247;
302;"M56d";"Sportpark Middenmeer Zuid";"M56";"M";211342;"03630000000768";"POLYGON((4.940186 52.347784,4.944314 52.350241,4.947349 52.34834,4.948535 52.347586,4.948806 52.347426,4.948919 52.347376,4.949042 52.347336,4.949541 52.347227,4.949683 52.347183,4.949852 52.347105,4.950031 52.346985,4.949889 52.346881,4.945638 52.344338,4.945308 52.344551,4.944482 52.345086,4.942966 52.346019,4.941522 52.346927,4.940186 52.347784))";"POLYGON((52.347784 4.940186,52.350241 4.944314,52.34834 4.947349,52.347586 4.948535,52.347426 4.948806,52.347376 4.948919,52.347336 4.949042,52.347227 4.949541,52.347183 4.949683,52.347105 4.949852,52.346985 4.950031,52.346881 4.949889,52.344338 4.945638,52.344551 4.945308,52.345086 4.944482,52.346019 4.942966,52.346927 4.941522,52.347784 4.940186))";4.9451085;52.3472895;
303;"M56e";"Sportpark Middenmeer Noord";"M56";"M";251010;"03630000000769";"POLYGON((4.944314 52.350241,4.946347 52.351449,4.946921 52.351805,4.94772 52.352256,4.94861 52.352717,4.948802 52.352832,4.949617 52.352481,4.955351 52.350073,4.955174 52.349915,4.95465 52.349615,4.953991 52.34921,4.95325 52.348796,4.952524 52.34837,4.95228 52.348311,4.950031 52.346985,4.949852 52.347105,4.949683 52.347183,4.949541 52.347227,4.949042 52.347336,4.948919 52.347376,4.948806 52.347426,4.948535 52.347586,4.947349 52.34834,4.944314 52.350241))";"POLYGON((52.350241 4.944314,52.351449 4.946347,52.351805 4.946921,52.352256 4.94772,52.352717 4.94861,52.352832 4.948802,52.352481 4.949617,52.350073 4.955351,52.349915 4.955174,52.349615 4.95465,52.34921 4.953991,52.348796 4.95325,52.34837 4.952524,52.348311 4.95228,52.346985 4.950031,52.347105 4.949852,52.347183 4.949683,52.347227 4.949541,52.347336 4.949042,52.347376 4.948919,52.347426 4.948806,52.347586 4.948535,52.34834 4.947349,52.350241 4.944314))";4.9498325;52.3499085;
304;"M56f";"Park de Meer";"M56";"M";263651;"03630000000770";"POLYGON((4.945638 52.344338,4.949889 52.346881,4.950031 52.346985,4.950326 52.346811,4.952976 52.34515,4.953597 52.344821,4.95404 52.344525,4.954665 52.344088,4.954757 52.344043,4.954859 52.344007,4.956272 52.343588,4.955002 52.342313,4.953841 52.341062,4.953057 52.340371,4.952735 52.34016,4.952524 52.340259,4.951925 52.340567,4.950302 52.341466,4.948713 52.342475,4.946767 52.343693,4.946035 52.344091,4.945638 52.344338))";"POLYGON((52.344338 4.945638,52.346881 4.949889,52.346985 4.950031,52.346811 4.950326,52.34515 4.952976,52.344821 4.953597,52.344525 4.95404,52.344088 4.954665,52.344043 4.954757,52.344007 4.954859,52.343588 4.956272,52.342313 4.955002,52.341062 4.953841,52.340371 4.953057,52.34016 4.952735,52.340259 4.952524,52.340567 4.951925,52.341466 4.950302,52.342475 4.948713,52.343693 4.946767,52.344091 4.946035,52.344338 4.945638))";4.950955;52.3435725;
305;"M56h";"Science Park Noord";"M56";"M";417848;"03630000000772";"POLYGON((4.937147 52.357691,4.937431 52.35774,4.937797 52.357788,4.940465 52.358381,4.940705 52.358405,4.940947 52.358414,4.941153 52.358411,4.944681 52.358264,4.952941 52.357908,4.956497 52.357788,4.956467 52.357461,4.951422 52.354438,4.950476 52.353839,4.948802 52.352832,4.947698 52.353307,4.947582 52.353375,4.941894 52.355743,4.939708 52.356658,4.93858 52.357104,4.937643 52.357495,4.937147 52.357691))";"POLYGON((52.357691 4.937147,52.35774 4.937431,52.357788 4.937797,52.358381 4.940465,52.358405 4.940705,52.358414 4.940947,52.358411 4.941153,52.358264 4.944681,52.357908 4.952941,52.357788 4.956497,52.357461 4.956467,52.354438 4.951422,52.353839 4.950476,52.352832 4.948802,52.353307 4.947698,52.353375 4.947582,52.355743 4.941894,52.356658 4.939708,52.357104 4.93858,52.357495 4.937643,52.357691 4.937147))";4.946822;52.355623;
