bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
18144,3265,1630,1640,12,8,48,21,12,71,21,6,1,14,1900,1.7,1793,507,9090.51,0.4,90
9629,670,330,345,5,65,22,7,1,90,5,5,0,6,570,1.2,120,353,423.6,0.1,5
17471,3670,1800,1870,8,10,46,23,13,71,19,8,2,11,2345,1.6,2282,399,9105.18,0.3,95
500,115,55,55,3,5,50,32,10,83,7,9,1,0,100,1.1,96,265,254.4,0.3,5
23219,3715,1820,1895,13,10,40,25,13,67,23,7,3,13,2080,1.8,2039,460,9379.4,0.4,75
26058,3125,1580,1545,13,10,39,25,12,68,20,10,2,12,1790,1.7,1796,407,7309.72,0.3,50
21205,4240,2015,2220,11,11,40,23,16,67,20,10,3,10,2445,1.7,2416,398,9615.68,0.3,65
22035,3750,1850,1890,10,12,40,26,12,69,20,9,2,13,2270,1.6,2103,408,8580.24,0.3,70
9355,2060,1025,1035,16,12,32,24,16,61,26,9,4,15,950,1.9,1008,515,5191.2,0.5,25
22517,4055,1970,2080,11,12,38,25,13,66,21,10,3,12,2285,1.8,2150,382,8213.0,0.3,80
26574,5050,2470,2575,14,12,40,23,11,68,22,8,2,15,2665,1.9,2576,430,11076.8,0.4,85
23165,3940,2020,1915,12,12,47,21,7,72,19,7,1,15,2340,1.7,2324,393,9133.32,0.3,70
30433,4565,2215,2350,11,13,47,21,9,73,18,7,2,14,2615,1.7,2417,384,9281.28,0.3,125
25094,4015,1980,2035,14,13,35,24,14,61,26,10,3,11,2045,2.0,1964,356,6991.84,0.4,65
22177,5770,2880,2885,13,11,36,25,16,62,24,10,4,13,3130,1.8,3036,368,11172.48,0.3,125
25271,3535,1750,1785,14,13,36,26,12,63,26,9,3,13,1800,2.0,1722,391,6733.02,0.4,60
4789,430,215,220,12,13,26,36,14,59,31,7,3,9,210,2.0,197,553,1089.41,0.6,15
39,20,5,10,0,0,0,0,0,0,0,0,0,0,10,1.6,5,0,0.0,0.0,0
6139,1415,745,670,13,7,44,28,7,62,29,8,1,18,730,1.9,751,565,4243.15,0.6,40
8941,2410,1210,1205,13,10,36,30,11,63,27,8,2,16,1250,1.9,1221,506,6178.26,0.5,70
18135,3085,1540,1540,12,9,27,36,15,60,29,8,3,9,1615,1.9,1572,581,9133.32,0.6,65
18385,2390,1240,1145,10,7,26,39,17,58,30,10,3,9,1385,1.7,1324,466,6169.84,0.6,115
17531,2805,1375,1430,17,13,25,39,5,64,30,6,1,5,1170,2.4,1112,582,6471.84,0.7,95
23150,2780,1385,1395,19,13,27,35,6,67,26,7,1,14,1190,2.3,1107,633,7007.31,0.6,110
13036,1435,715,725,11,11,32,33,13,61,25,11,2,10,785,1.8,758,416,3153.28,0.5,40
17040,1705,855,850,9,9,30,36,16,62,25,11,2,13,1020,1.7,1004,389,3905.56,0.5,50
850,35,10,20,0,0,0,0,0,0,0,0,0,0,25,1.5,18,0,0.0,0.0,0
3188,545,305,235,13,12,60,14,2,76,20,4,1,52,310,1.7,298,0,0.0,0.6,25
3220,160,85,75,17,9,35,20,19,63,30,4,2,19,95,1.7,12,0,0.0,0.8,10
57,20,10,10,0,0,0,0,0,0,0,0,0,0,5,2.5,5,0,0.0,0.0,0
2161,495,205,290,1,80,17,1,1,98,2,0,0,2,450,1.1,453,23,104.19,0.1,5
1524,260,125,135,5,51,35,7,2,95,3,1,0,4,200,1.3,86,0,0.0,0.4,20
63,75,45,30,13,15,16,40,16,60,31,7,3,0,35,2.1,16,0,0.0,0.0,5
14131,4095,2060,2040,17,14,50,15,5,73,20,6,1,17,2265,1.8,2382,0,0.0,0.4,80
154,35,20,15,0,0,0,0,0,0,0,0,0,27,20,1.7,0,0,0.0,0.0,0
11400,1595,800,795,22,13,35,26,4,65,25,8,1,19,700,2.3,669,450,3010.5,0.7,50
11652,2680,1360,1315,25,17,22,32,4,66,28,6,1,8,940,2.8,932,580,5405.6,0.8,70
10367,2800,1405,1390,22,17,19,37,5,61,32,6,1,6,1000,2.8,965,756,7295.4,0.9,70
16729,2840,1425,1420,18,12,39,23,8,64,27,8,1,11,1390,2.0,1387,397,5506.39,0.5,80
18658,5785,2850,2935,23,14,33,26,5,63,29,7,1,15,2360,2.5,2321,463,10746.23,0.6,135
867,450,240,210,12,4,68,11,5,79,14,6,1,27,245,1.8,226,477,1078.02,0.6,15
88,60,45,15,0,10,35,52,3,80,7,13,0,0,55,1.1,17,0,0.0,0.0,10
4945,540,285,260,6,9,71,8,6,80,15,4,1,22,365,1.5,359,0,0.0,0.4,15
16771,5705,2745,2960,15,16,39,22,9,65,26,7,2,13,2915,1.9,2738,330,9035.4,0.4,100
20535,4110,2040,2065,13,9,49,21,9,71,19,8,2,19,2330,1.8,2175,386,8395.5,0.4,100
23363,1870,895,970,17,13,38,24,8,69,22,7,2,16,970,1.9,872,453,3950.16,0.4,40
22689,4310,2170,2140,13,10,47,22,8,70,20,9,2,14,2505,1.7,2340,329,7698.6,0.3,75
24040,2405,1150,1255,15,13,45,20,8,70,21,7,2,12,1295,1.8,1218,347,4226.46,0.4,50
13603,4080,1930,2155,11,10,52,18,8,72,21,6,2,19,2355,1.7,2159,356,7686.04,0.4,100
25100,1755,840,915,11,12,48,20,8,72,20,6,2,12,990,1.8,923,377,3479.71,0.3,45
14393,2015,970,1040,9,14,47,17,13,68,20,7,4,7,1300,1.5,1382,254,3510.28,0.3,40
13894,2220,1110,1110,18,21,41,13,7,71,22,6,2,20,1225,1.8,1217,354,4308.18,0.3,20
18800,2260,1145,1115,15,13,43,19,10,62,28,7,3,12,1080,2.1,1076,376,4045.76,0.4,30
15087,4530,2305,2225,21,13,41,20,6,63,29,7,1,17,1945,2.3,1800,343,6174.0,0.5,40
21275,1705,800,905,8,9,59,15,8,80,13,5,1,16,1140,1.5,1083,373,4039.59,0.3,40
26533,3180,1515,1665,13,12,47,18,9,73,19,5,2,18,1780,1.8,1603,456,7309.68,0.4,65
26871,1885,965,915,12,11,45,23,9,71,20,7,2,14,1080,1.7,1008,410,4132.8,0.4,55
28271,1980,965,1010,12,9,48,22,9,73,17,9,2,19,1195,1.7,1124,362,4068.88,0.4,50
27975,2240,1055,1180,11,12,43,25,9,70,18,9,2,14,1335,1.7,1319,350,4616.5,0.3,40
33975,1360,665,695,11,9,47,20,12,68,19,10,3,10,810,1.7,776,351,2723.76,0.3,35
26700,2670,1870,800,13,14,44,28,1,78,6,16,0,17,0,1.0,1,0,0.0,0.0,30
25358,3045,1500,1545,12,12,47,21,8,71,18,9,2,14,1725,1.8,1671,361,6032.31,0.3,75
24979,3495,1790,1710,13,10,44,24,10,68,22,9,2,18,2020,1.7,1943,364,7072.52,0.4,70
32217,1935,940,990,11,10,47,23,8,72,18,9,1,20,1155,1.7,1116,373,4162.68,0.4,60
23425,1875,905,970,9,10,48,20,13,70,18,8,4,13,1110,1.6,1060,362,3837.2,0.4,40
23713,3795,1805,1985,13,9,51,18,8,73,19,6,2,18,2155,1.8,1972,459,9051.48,0.4,95
19013,3045,1420,1625,12,9,48,20,10,72,19,7,2,20,1750,1.7,1660,426,7071.6,0.4,80
19450,1555,695,860,13,10,45,20,13,71,22,5,2,12,915,1.7,831,490,4071.9,0.4,45
22506,3600,1675,1930,12,9,47,22,10,72,19,7,2,21,2100,1.7,2036,434,8836.24,0.4,95
25240,2525,1155,1370,11,8,53,19,8,73,20,6,1,23,1480,1.7,1463,410,5998.3,0.4,75
19673,2165,1025,1135,10,9,46,25,10,72,19,7,2,16,1300,1.7,1264,453,5725.92,0.5,45
23900,1675,770,905,13,9,43,24,11,71,20,7,2,16,975,1.7,939,476,4469.64,0.4,40
791,260,145,120,3,38,31,20,8,79,16,3,2,0,195,1.3,7,0,0.0,1.3,15
24310,2430,1175,1255,9,12,49,22,8,74,17,7,1,13,1550,1.6,1465,451,6607.15,0.4,60
8179,1555,730,825,10,11,41,23,15,70,16,11,3,8,985,1.6,946,419,3963.74,0.3,30
12955,1425,710,710,20,13,22,32,13,55,36,7,2,6,640,2.2,667,1144,7630.48,0.9,40
18429,2580,1250,1335,18,10,32,26,14,61,30,6,2,10,1245,2.1,1243,820,10192.6,0.6,45
8226,1565,775,790,14,14,29,29,13,59,32,6,2,10,790,2.0,771,1234,9514.14,0.8,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
10027,1505,745,760,15,10,30,27,17,58,32,6,3,10,780,1.9,764,1029,7861.56,0.6,25
7145,785,400,390,11,9,35,27,17,60,33,6,2,10,450,1.7,492,1071,5269.32,0.6,30
14085,1830,930,900,16,11,28,28,17,58,33,6,3,13,965,1.9,1016,1168,11866.88,0.6,35
15121,2870,1420,1450,17,12,27,29,15,56,37,5,2,9,1430,2.0,1480,1267,18751.6,0.7,60
7870,785,375,410,14,14,17,29,26,50,39,8,4,3,375,2.1,345,1583,5461.35,0.8,15
16733,2005,965,1045,15,10,34,23,18,59,32,5,4,9,1065,1.9,1026,868,8905.68,0.6,35
13700,1370,635,735,8,6,18,21,47,42,38,12,8,4,865,1.6,883,550,4856.5,0.5,20
0,5,10,5,0,0,0,0,0,0,0,0,0,0,5,1.6,5,0,0.0,0.0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,3,0,0.0,0.0,0
22683,1360,660,700,10,10,50,22,8,73,19,6,1,13,845,1.6,868,527,4574.36,0.4,25
22200,1110,535,575,9,9,35,25,21,63,20,14,3,8,680,1.6,649,419,2719.31,0.4,30
9807,1470,695,775,11,11,30,29,19,64,20,13,3,10,880,1.7,876,439,3845.64,0.4,40
19925,2395,1135,1255,9,9,38,28,17,66,18,13,3,8,1535,1.6,1523,368,5604.64,0.4,50
11152,2340,1125,1220,19,7,37,22,15,59,30,8,3,13,1160,2.0,1198,621,7439.58,0.6,45
1639,375,180,195,21,13,16,37,13,62,29,7,2,5,165,2.3,3,0,0.0,0.9,20
20875,4175,1940,2230,13,9,45,20,12,68,22,8,3,16,2375,1.8,2320,487,11298.4,0.5,85
4258,805,390,420,21,13,20,30,16,53,39,4,4,9,330,2.5,330,2113,6972.9,1.2,5
8100,1215,580,635,18,13,22,29,19,51,37,8,4,15,560,2.2,561,1361,7635.21,0.9,25
840,85,40,45,24,15,6,43,12,50,38,11,1,0,30,2.7,33,0,0.0,0.0,5
9779,1370,670,695,21,10,21,30,18,51,38,7,3,12,600,2.3,614,1212,7441.68,0.8,20
15933,2390,1125,1260,19,12,24,27,18,52,37,7,4,10,1110,2.2,1111,1045,11609.95,0.8,20
17553,2630,1270,1360,18,8,30,25,19,55,34,7,3,17,1305,2.0,1261,862,10869.82,0.7,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
263,70,35,35,37,7,34,23,0,66,31,3,0,141,25,3.1,9,0,0.0,0.0,5
3430,345,165,175,34,13,14,38,1,64,34,3,0,3,100,3.5,90,1414,1272.6,1.3,10
13707,6030,2970,3060,30,12,29,26,3,65,28,6,1,12,2205,2.7,2186,540,11804.4,0.7,120
16191,1780,830,945,21,12,38,22,7,64,25,9,2,13,830,2.1,821,393,3226.53,0.6,45
21036,2945,1355,1590,14,9,39,23,14,65,25,7,2,15,1590,1.9,1478,638,9429.64,0.5,70
17140,4285,2025,2260,14,10,39,21,15,66,23,8,3,16,2405,1.8,2238,561,12555.18,0.5,90
19350,3095,1420,1675,15,9,42,19,15,66,24,7,2,17,1665,1.9,1557,597,9295.29,0.5,90
16629,2330,1055,1270,13,11,43,20,12,69,22,7,2,14,1305,1.8,1181,523,6176.63,0.4,55
11515,1495,725,770,12,6,35,22,26,62,17,13,8,11,875,1.6,974,417,4061.58,0.4,20
4024,685,350,335,13,5,62,12,9,65,28,5,2,29,350,1.9,426,0,0.0,0.5,15
19592,2350,1130,1220,10,9,43,23,16,70,18,10,2,12,1495,1.6,1471,412,6060.52,0.4,40
22100,2870,1370,1505,11,13,43,21,13,70,18,9,3,11,1730,1.7,1543,440,6789.2,0.4,80
14624,2485,1175,1315,9,11,42,23,15,72,16,10,3,9,1580,1.6,1453,413,6000.89,0.3,55
14132,2685,1260,1425,10,13,44,21,12,71,18,8,2,16,1645,1.6,1513,424,6415.12,0.4,75
8435,2195,1010,1185,10,10,47,20,13,73,18,7,2,14,1325,1.7,1242,444,5514.48,0.5,65
20925,1675,810,865,11,8,30,29,21,64,17,16,3,11,1075,1.6,1073,383,4109.59,0.3,25
170,45,25,20,0,0,0,0,0,0,0,0,0,0,25,1.8,15,0,0.0,0.0,10
15367,2765,1460,1305,8,25,54,10,2,86,8,5,0,15,1760,1.3,1367,273,3731.91,0.2,45
5744,1035,525,505,9,5,56,17,13,70,22,6,2,17,600,1.7,610,436,2659.6,0.4,20
13175,2105,1060,1045,16,11,35,25,14,66,25,6,2,13,1055,2.0,1000,529,5290.0,0.6,40
52,15,5,5,0,0,0,0,0,0,0,0,0,77,10,1.6,8,0,0.0,0.0,0
7582,835,365,475,15,10,23,29,24,58,20,16,6,18,490,1.7,486,299,1453.14,0.4,20
6493,1820,855,960,15,11,21,30,23,56,28,9,6,10,890,1.9,885,435,3849.75,0.6,60
7608,2740,1395,1345,14,6,34,25,20,60,23,13,4,13,1575,1.6,1525,383,5840.75,0.4,85
8300,580,295,280,15,15,33,24,13,66,23,9,2,12,305,1.9,272,321,873.12,0.4,10
15541,2640,1305,1340,17,11,33,25,14,65,27,6,2,10,1325,2.0,1285,653,8391.05,0.6,75
15200,2890,1355,1535,19,12,27,28,14,60,32,6,3,13,1295,2.2,1200,663,7956.0,0.6,75
12458,4985,2370,2615,19,12,32,25,12,64,26,7,3,18,2420,2.1,2312,523,12091.76,0.6,100
1419,295,135,165,9,3,17,23,48,40,31,12,18,17,185,1.6,189,520,982.8,0.6,5
1042,250,170,85,1,62,36,1,0,94,5,1,0,0,240,1.0,251,75,188.25,0.0,5
6023,1565,750,815,13,13,20,38,17,53,37,7,3,8,710,2.2,699,575,4019.25,0.7,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
6400,2625,1215,1410,6,45,37,10,2,85,13,2,0,8,1935,1.4,1847,287,5300.89,0.2,35
407,285,160,120,2,49,41,4,3,92,6,2,1,7,265,1.1,243,122,296.46,0.2,0
7116,3130,1460,1675,13,8,27,28,24,57,24,14,5,13,1870,1.7,1954,360,7034.4,0.5,100
0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,2.0,3,0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
1861,855,470,385,7,12,66,12,3,82,15,3,1,18,460,1.6,1129,0,0.0,0.6,45
182,80,40,40,15,9,21,35,21,66,24,6,4,0,40,2.2,1,0,0.0,0.0,5
43,50,30,15,0,0,0,0,0,0,0,0,0,0,10,2.9,5,0,0.0,0.0,0
9436,2640,1345,1295,10,14,62,12,2,82,14,4,0,14,1725,1.5,1746,388,6774.48,0.5,70
5967,715,370,345,9,6,42,23,19,58,32,7,4,17,420,1.7,412,591,2434.92,0.5,20
126,30,15,15,0,0,0,0,0,0,0,0,0,0,20,1.5,3,0,0.0,0.0,5
4186,880,465,420,1,29,66,3,2,94,5,1,0,8,710,1.2,711,230,1635.3,0.1,20
5750,1380,645,740,20,9,24,25,22,51,38,6,5,5,650,2.1,693,913,6327.09,0.9,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
9429,4620,2295,2325,16,12,35,27,9,66,20,11,2,14,2465,1.9,2470,270,6669.0,0.5,95
6711,2415,1170,1245,19,10,29,26,15,61,24,11,4,12,1215,2.0,1189,329,3911.81,0.5,35
6880,2410,1200,1210,15,7,31,29,18,54,30,11,5,13,1240,1.9,1220,308,3757.6,0.7,70
12150,2430,1270,1155,12,9,32,31,16,62,23,12,4,9,1435,1.7,1426,317,4520.42,0.5,55
13284,4250,2115,2135,16,12,35,25,12,65,22,10,3,15,2175,1.9,2028,330,6692.4,0.5,75
4403,1275,630,650,16,9,39,25,11,67,21,10,3,22,710,1.8,658,309,2033.22,0.5,45
484,180,95,85,18,15,18,42,7,60,30,8,2,6,70,2.5,40,555,222.0,1.2,10
9482,1045,475,565,13,8,22,28,29,44,38,10,8,8,535,1.9,538,316,1700.08,0.8,35
7634,2445,1115,1325,17,8,23,31,21,54,27,13,6,13,1290,1.9,1304,333,4342.32,0.7,110
11153,1895,915,985,15,10,27,29,19,55,29,10,6,15,930,2.0,912,318,2900.16,0.7,65
7200,145,70,75,22,12,17,28,22,60,33,4,3,14,60,2.6,59,723,426.57,0.9,5
3933,115,60,60,12,8,18,32,30,50,42,4,3,25,50,2.3,53,867,459.51,1.1,10
10370,1040,515,525,21,11,19,33,16,60,33,4,3,12,410,2.5,396,673,2665.08,1.0,55
5171,360,175,180,26,11,22,28,13,59,34,6,2,14,125,2.8,122,728,888.16,1.1,15
0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0.0,0.0,0
6688,1140,530,610,14,8,20,26,33,43,33,13,11,6,545,2.0,550,300,1650.0,0.8,40
8208,4185,1920,2270,16,9,27,28,19,54,31,10,5,18,2050,2.0,1994,302,6021.88,0.7,175
6266,4075,2035,2035,14,9,30,28,19,57,27,12,4,10,2195,1.8,2112,288,6082.56,0.6,130
10062,2615,1300,1310,31,11,34,21,3,65,29,5,1,19,885,3.0,742,544,4036.48,0.9,80
891,400,200,195,16,8,25,35,16,57,32,6,5,17,180,2.2,137,447,612.39,1.1,45
2808,1380,670,700,17,13,26,33,12,52,38,7,4,15,585,2.4,546,400,2184.0,1.0,80
6856,2470,1240,1225,16,13,22,35,14,53,38,6,3,11,1005,2.5,945,427,4035.15,1.0,150
177,135,70,65,10,10,10,41,29,46,39,12,3,0,60,2.1,2,0,0.0,1.1,20
10427,3130,1490,1640,21,14,26,21,18,57,25,12,6,10,1505,2.1,1417,243,3443.31,0.5,35
8431,1345,680,670,13,10,33,32,12,56,33,9,3,9,685,1.9,643,303,1948.29,0.8,50
2068,2420,1155,1265,24,9,25,28,13,58,34,6,3,15,950,2.6,903,548,4948.44,1.0,135
6033,1090,515,570,16,12,20,31,21,47,43,7,4,12,450,2.4,444,371,1647.24,1.0,40
5336,590,290,295,9,11,31,23,26,53,30,10,6,14,360,1.6,353,250,882.5,0.6,15
3186,445,220,225,7,9,27,24,33,51,33,10,6,4,265,1.7,259,327,846.93,0.7,10
13781,4960,2420,2540,17,12,32,25,14,58,26,12,4,12,2570,1.9,2368,265,6275.2,0.5,105
8973,3675,1800,1875,25,15,32,21,7,61,29,7,2,18,1410,2.6,1366,342,4671.72,0.8,55
10450,2295,1150,1155,28,14,31,20,7,62,28,8,2,15,855,2.5,813,296,2406.48,0.7,35
8368,1590,735,850,24,13,23,26,13,54,34,9,3,6,625,2.5,594,373,2215.62,0.8,35
1553,235,110,120,11,8,18,28,36,45,45,4,6,4,90,2.2,91,532,484.12,1.0,5
10356,1655,845,810,10,13,34,20,24,58,22,12,8,3,980,1.6,818,247,2020.46,0.4,45
4287,985,465,525,7,7,28,20,38,46,25,13,16,6,570,1.5,594,315,1871.1,0.6,15
11061,3095,1490,1610,18,15,31,23,13,61,25,11,3,11,1515,2.0,1400,292,4088.0,0.5,45
11809,2720,1295,1425,19,15,23,25,18,56,28,11,5,7,1250,2.2,1151,255,2935.05,0.5,45
5313,2495,1165,1330,8,21,27,18,25,58,25,9,8,8,1585,1.5,1250,307,3837.5,0.4,60
11044,3755,1725,2035,20,15,25,23,17,56,28,10,6,11,1565,2.3,1399,302,4224.98,0.5,45
8322,4160,2110,2050,19,8,33,24,16,57,31,9,3,16,2065,2.0,2009,321,6448.89,0.6,85
8419,2610,1265,1345,18,15,29,24,14,57,29,11,4,10,1240,2.1,1120,269,3012.8,0.6,35
9043,3620,1800,1815,19,14,26,25,16,55,33,8,4,11,1545,2.3,1467,298,4371.66,0.7,60
4100,330,165,165,17,9,23,31,20,48,42,5,5,9,140,2.3,118,601,709.18,1.1,15
11433,340,180,165,21,13,37,22,7,66,26,5,2,6,150,2.3,147,400,588.0,0.7,10
2274,1295,695,605,24,7,40,24,5,68,26,5,1,19,565,2.3,437,0,0.0,0.8,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,10
5868,2170,1130,1040,2,26,68,4,1,91,7,2,0,18,1725,1.3,1639,189,3097.71,0.3,70
2040,715,370,345,21,6,51,18,5,72,18,10,1,15,385,1.9,366,0,0.0,0.9,30
5634,1635,915,720,11,6,48,22,13,64,28,7,2,18,985,1.7,829,559,4634.11,0.5,55
678,215,145,70,6,16,55,18,6,77,16,6,1,14,170,1.3,191,248,473.68,1.6,15
0,10,5,5,0,0,0,0,0,0,0,0,0,0,5,1.1,1,0,0.0,0.0,0
240,20,15,10,0,0,0,0,0,0,0,0,0,0,10,2.7,5,0,0.0,0.0,0
447,65,30,35,12,15,13,42,18,61,25,10,3,0,30,2.0,31,652,202.12,0.0,5
958,630,315,315,23,8,20,32,16,58,35,5,2,13,255,2.4,189,759,1434.51,1.0,35
0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,3.0,2,0,0.0,0.0,0
204,520,270,255,21,11,16,34,18,54,38,4,4,10,205,2.6,185,783,1448.55,1.2,25
14,20,15,5,0,0,0,0,0,0,0,0,0,0,5,2.8,18,0,0.0,0.0,0
181,325,165,160,18,11,14,32,24,51,39,5,4,12,135,2.4,136,806,1096.16,1.6,25
38,290,150,140,19,10,15,35,21,45,42,6,6,0,110,2.6,120,726,871.2,1.4,15
57,485,250,230,15,12,21,31,22,50,40,6,4,12,205,2.3,213,716,1525.08,1.1,25
64,60,35,20,5,3,45,38,8,72,20,7,2,0,50,1.2,1,0,0.0,0.5,5
0,10,10,0,0,0,0,0,0,0,0,0,0,0,5,2.7,1,0,0.0,0.0,0
3150,125,70,55,29,6,20,28,17,52,46,2,1,16,40,3.2,40,678,271.2,0.0,5
2757,825,500,325,6,24,58,9,3,86,10,3,0,16,705,1.2,943,0,0.0,0.2,20
6046,2905,1465,1435,28,10,35,21,7,61,32,5,2,21,1095,2.6,929,518,4812.22,0.8,60
22200,2220,1090,1130,13,13,39,25,9,70,22,6,2,11,1180,1.9,1069,464,4960.16,0.4,55
26925,1075,555,525,13,11,48,21,7,73,19,6,1,18,650,1.7,581,432,2509.92,0.3,35
25814,1805,880,925,15,12,40,23,9,66,24,8,2,11,905,2.0,860,424,3646.4,0.4,50
24875,995,455,545,17,11,36,25,11,64,25,8,3,11,490,2.0,472,394,1859.68,0.5,20
9404,6395,3310,3090,20,13,32,24,11,60,29,8,2,13,3070,2.1,2752,270,7430.4,0.5,110
10071,2820,1455,1365,18,14,35,25,9,58,30,10,2,12,1355,2.1,1393,253,3524.29,0.5,35
8305,3405,1830,1570,16,10,38,22,14,60,25,12,3,13,1955,1.7,1869,221,4130.49,0.5,65
9686,3390,1665,1725,17,14,35,23,11,64,25,8,2,14,1775,1.9,1583,327,5176.41,0.5,90
10171,3460,1750,1705,16,14,33,23,14,58,31,8,3,10,1685,2.1,1495,282,4215.9,0.5,70
16232,3575,1800,1775,21,15,31,23,10,57,31,10,2,13,1470,2.4,1410,230,3243.0,0.6,50
135,85,35,45,14,24,56,6,0,64,33,2,0,48,45,1.9,35,421,147.35,0.0,5
12539,3885,1960,1925,21,14,32,22,11,58,31,8,3,15,1710,2.3,1646,258,4246.68,0.6,65
11662,3030,1490,1545,21,14,31,23,10,58,29,10,3,15,1335,2.3,1287,255,3281.85,0.5,40
10046,2815,1445,1365,24,14,30,19,13,53,38,7,3,14,1070,2.6,964,365,3518.6,0.9,60
16832,4210,2100,2105,21,13,36,20,9,59,30,8,3,15,1800,2.3,1625,302,4907.5,0.6,60
14975,5990,3045,2940,22,13,31,22,11,55,33,8,3,15,2510,2.4,2246,316,7097.36,0.7,85
2525,305,175,125,13,9,43,30,5,66,26,7,1,7,170,1.7,154,238,366.52,0.7,10
15,25,15,10,0,0,0,0,0,0,0,0,0,0,15,2.0,11,0,0.0,0.0,0
7790,2415,1185,1230,18,11,27,27,17,46,44,6,4,12,1010,2.4,922,386,3558.92,1.0,65
506,355,220,135,18,17,48,15,3,73,23,4,0,25,10,1.1,2,0,0.0,0.0,0
312,770,400,360,13,11,22,32,22,50,38,7,4,8,355,2.2,283,595,1683.85,1.2,55
31,70,40,30,12,22,13,36,16,57,27,7,9,0,35,1.9,24,890,213.6,0.0,10
15450,4945,2415,2530,19,11,28,23,19,53,29,12,6,11,2525,2.0,2452,223,5467.96,0.5,65
14976,3145,1615,1530,15,10,33,24,19,53,32,10,5,11,1640,1.9,1541,350,5393.5,0.6,90
12710,3815,1845,1970,17,17,38,17,11,63,26,8,3,14,1885,2.0,1790,278,4976.2,0.5,55
4750,1235,645,590,14,8,28,30,19,55,31,11,4,17,675,1.8,661,277,1830.97,0.6,45
8190,4010,1915,2100,12,16,29,20,22,57,29,8,6,9,2360,1.7,1912,296,5659.52,0.5,105
12300,2585,1185,1405,18,15,25,22,20,51,30,10,9,12,1095,2.2,1287,225,2895.75,0.6,25
14333,3440,1690,1750,24,11,34,20,11,57,31,9,3,15,1535,2.2,1412,270,3812.4,0.6,50
