bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
25,25,20,5,0,0,0,0,0,0,0,0,0,0,20,1.1,0,0,0.0,0.0,30
3854,1350,560,785,0,73,26,1,0,98,2,0,0,6,1260,1.1,385,104,400.4,0.1,15
0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,1.3,2,0,0.0,0.0,5
36,30,25,5,0,0,0,0,0,0,0,0,0,0,25,1.0,1,0,0.0,0.0,0
99,140,100,40,10,40,35,9,6,88,9,2,1,0,80,1.2,8,0,0.0,0.4,5
10134,5065,2690,2380,14,11,34,28,13,68,14,16,2,8,2980,1.7,2817,209,5887.53,0.4,60
10722,3430,1795,1630,14,13,37,28,9,68,16,13,2,9,1985,1.7,1719,233,4005.27,0.4,50
7074,1910,950,955,6,58,27,6,2,93,3,3,0,6,1625,1.2,1681,51,857.31,0.1,10
19982,4395,2200,2200,17,18,37,23,5,72,19,8,1,10,2220,2.0,1917,255,4888.35,0.5,75
3249,1395,715,680,11,19,29,28,13,73,9,16,2,6,835,1.5,680,205,1394.0,0.6,5
9450,1890,955,935,14,30,35,17,4,79,11,9,1,11,1205,1.6,1220,0,0.0,0.2,15
15270,3055,1495,1560,18,17,27,28,10,69,15,15,1,8,1570,1.9,1276,228,2909.28,0.4,25
9319,2515,1245,1275,19,16,32,26,6,73,14,12,1,10,1280,2.0,1131,222,2510.82,0.4,35
1873,210,105,105,14,15,18,27,27,50,41,6,3,5,95,2.2,82,435,356.7,0.8,5
9929,695,350,345,15,13,27,29,16,58,28,11,3,6,300,2.3,247,348,859.56,0.7,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0
7158,2220,1075,1145,25,23,29,21,2,72,22,6,0,17,865,2.5,657,393,2582.01,0.7,30
9138,3655,1870,1790,13,13,33,29,12,64,22,12,2,9,1890,1.9,1479,321,4747.59,0.6,45
16350,2290,1095,1195,16,14,21,29,20,64,15,18,3,9,1265,1.8,1090,229,2496.1,0.3,15
13676,2875,1395,1480,16,11,29,26,18,65,14,18,4,15,1740,1.7,1461,205,2995.05,0.4,35
5075,1015,490,520,18,16,21,30,16,62,24,11,3,10,460,2.2,381,265,1009.65,0.6,15
14813,2370,1200,1170,18,17,34,25,7,73,13,13,1,10,1310,1.8,1160,183,2122.8,0.4,20
7633,1375,695,675,25,14,39,19,3,67,25,7,1,19,565,2.4,452,387,1749.24,0.8,20
9533,1430,690,735,18,19,26,28,7,65,23,9,3,9,610,2.3,503,324,1629.72,0.7,35
14433,1735,825,905,19,15,31,27,7,65,23,10,1,13,775,2.2,635,329,2089.15,0.7,25
3615,3145,1695,1455,8,12,24,24,31,53,29,13,5,4,1920,1.6,1724,281,4844.44,0.6,80
4571,2240,1190,1050,14,11,23,30,22,55,24,17,4,14,1255,1.8,1056,259,2735.04,0.6,45
4650,650,315,335,28,11,46,14,1,71,23,5,1,25,255,2.5,235,404,949.4,0.8,15
22188,1775,955,815,18,13,28,35,7,73,10,17,1,14,1030,1.7,952,171,1627.92,0.3,25
12817,3075,1550,1525,18,16,33,25,8,71,13,15,1,13,1655,1.9,1360,240,3264.0,0.3,25
4362,3010,1580,1435,13,8,32,25,21,60,23,12,4,11,1815,1.7,1648,243,4004.64,0.6,65
29,20,10,10,0,0,0,0,0,0,0,0,0,0,10,2.1,6,0,0.0,0.0,0
45,35,15,20,0,0,0,0,0,0,0,0,0,29,15,2.1,21,506,106.26,0.0,5
8143,2850,1295,1550,21,15,21,24,18,67,12,17,4,9,1440,2.0,1383,218,3014.94,0.4,25
11476,4245,1940,2300,20,15,25,27,12,67,16,15,2,14,2030,2.1,1846,240,4430.4,0.5,55
3978,2505,1225,1280,15,9,24,24,28,49,38,9,5,9,1170,2.1,1068,323,3449.64,0.9,65
8313,1995,1035,960,14,12,33,30,11,69,18,12,2,12,1020,1.8,953,252,2401.56,0.5,45
8550,1540,755,780,12,12,30,28,18,65,17,14,4,11,920,1.6,851,214,1821.14,0.4,10
9772,2445,1175,1265,14,13,28,27,18,61,23,13,3,10,1315,1.9,1144,245,2802.8,0.6,25
4378,2540,1260,1280,16,10,27,27,20,55,32,9,4,8,1195,2.1,1089,298,3245.22,0.7,40
9552,2960,1490,1475,16,14,29,27,14,69,14,15,2,11,1650,1.7,1576,212,3341.12,0.4,40
9818,1670,800,865,18,14,31,29,8,69,16,14,1,12,855,1.9,747,217,1620.99,0.5,20
5077,3250,1650,1600,14,11,22,33,20,46,44,7,3,8,1405,2.3,1261,331,4173.91,1.0,95
4660,3355,1635,1715,15,10,27,29,19,55,30,12,3,11,1640,2.0,1557,268,4172.76,0.7,65
5117,1485,705,785,18,11,22,30,18,49,39,7,4,13,645,2.3,639,348,2223.72,1.1,75
98,145,80,65,31,13,22,27,8,57,38,5,1,0,45,3.5,39,787,306.93,0.0,5
